id,nom,description,type
5186,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,Master
5187,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
5188,Mathématiques Appliquées,Formation sur la gestion et l'amélioration des processus industriels,Master
5189,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
5190,Mécanique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
5191,Génie Civil,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
5192,Mécanique,"Formation en conception, fabrication et maintenance de machines",Doctorat
5193,Architecture,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
5194,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
5195,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
5196,Télécommunications,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur
5197,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
5198,Électronique,Formation en conception et gestion d'espaces architecturaux et urbains,License
5199,Informatique,Formation en conception et gestion de structures civiles,License
5200,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
5201,Mécanique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
5202,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,License
5203,Génie Industriel,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
5204,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,License
5205,Informatique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
5206,Architecture,"Formation en conception, fabrication et maintenance de machines",Doctorat
5207,Architecture,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur
5208,Ingénierie des Systèmes,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
5209,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",License
5210,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Master
5211,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",Doctorat
5212,Génie Civil,Formation en développement logiciel et systèmes informatiques,Doctorat
5213,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,License
5214,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
5215,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,License
5216,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
5217,Génie Industriel,Formation sur la gestion des systèmes d'information et leur optimisation,Master
5218,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,License
5219,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",License
5220,Génie Industriel,Formation en développement logiciel et systèmes informatiques,Doctorat
5221,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
5222,Informatique,Formation en conception et gestion des systèmes électroniques,License
5223,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Master
5224,Télécommunications,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
5225,Informatique,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
5226,Télécommunications,Formation en développement logiciel et systèmes informatiques,Master
5227,Électronique,Formation en conception et gestion d'espaces architecturaux et urbains,License
5228,Architecture,Formation en conception et gestion de structures civiles,Cycle ingénieur
5229,Génie Industriel,Formation en développement logiciel et systèmes informatiques,Doctorat
5230,Génie Industriel,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
5231,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
5232,Électronique,Formation en développement logiciel et systèmes informatiques,Master
5233,Architecture,Formation en conception et gestion de structures civiles,Master
5234,Architecture,Formation en développement logiciel et systèmes informatiques,Master
5235,Génie Industriel,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur
5236,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
5237,Architecture,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
5238,Mécanique,"Formation en conception, fabrication et maintenance de machines",Doctorat
5239,Informatique,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
5240,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",License
5241,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
5242,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
5243,Génie Industriel,Formation en conception et gestion de structures civiles,Doctorat
5244,Télécommunications,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur
5245,Architecture,Formation en conception et gestion des systèmes électroniques,License
5246,Génie Industriel,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
5247,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
5248,Électronique,Formation en conception et gestion de structures civiles,Master
5249,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
5250,Architecture,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
5251,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur
5252,Informatique,Formation en développement logiciel et systèmes informatiques,License
5253,Génie Civil,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
5254,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
5255,Génie Civil,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
5256,Informatique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
5257,Informatique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
